# English → Bengali loanword map.
#
# Words Bengalis routinely type in Bengali script but which are NOT
# phonetically derivable from Avro rules (or whose phonetic output is
# wrong/ambiguous). Typed in the Avro/Bengali input mode, the English
# spelling on the left resolves directly to the Bengali form on the right,
# jumping ahead of the raw transliteration.
#
# Format: english<TAB>bengali   (one mapping per line; # starts a comment)
# Keep the English key lowercase. First column is matched case-insensitively.

# --- Technology / devices ---
keyboard	কিবোর্ড
hitler	হিটলার
hmm	হুম
hockey	হকি
hokkotha	হককথা
hokkothar	হককথার
hokkothay	হককথায়
hollywood	হলিউড
homeh	হোম
hostel	হোস্টেল
hotkey	হট-কি
howra	হাওড়া
howrah	হাওড়া
hp	এইচপি
hridoy	হৃদয়
html	এইচটিএমএল
human	হিউম্যান
hyderabad	হায়দেরাবাদ
hydrojen	হাইড্রোজেন
hype	হাইপ
ibm	আইবিএম
icon	আইকন
idiot	ইডিয়ট
image	ইমেজ
imageready	ইমেজরেডি
imageshack	ইমেজশ্যাক
imambari	ইমামবাড়ি
imandar	ইমানদার
imandari	ইমানদারী
imranur	ইমরানুর
inch	ইঞ্চি
inches	ইঞ্চি
include	ইনক্লুড
indhondata	ইন্ধনডেটা
indhondatri	ইন্ধনদাত্রী
india	ইন্ডিয়া
indian	ইন্ডিয়ান
indradeep	ইন্দ্রদীপ
info	ইনফো
information	ইনফর্মেশন
infrared	ইনফ্রারেড
injection	ইঞ্জেকশান
input	ইনপুট
install	ইন্সটল
institute	ইন্সিটিউট
insurance	ইনসিওরেন্স
insure	ইন্সিওর
interface	ইন্টারফেস
international	ইন্টারন্যাশনাল
iphone	আইফোন
ipod	আইপড
iron	আয়রন
islam	ইসলাম
island	আইল্যান্ড
italy	ইটালি
item	আইটেম
itihaslekhok	ইতিহাসলেখক
jabe	যাবে
jalpaiguri	জলপাইগুড়ি
jamrul	জামরুল
janenna	জানেননা
jantam	জানতাম
jante	জানতে
janten	জানতেন
janti	জানতি
janto	জানত
january	জানুয়ারী
je	যে
jeans	জিন্‌স
jedin	যেদিন
jehetu	যেহেতু
jekhan	যেখান
jekhane	যেখানে
jemon	যেমন
jet	জেট
jholkacche	ঝলকাচ্ছে
jholkacchilo	ঝলকাচ্ছিল
jholkani	ঝলকানি
jholkano	ঝলকানো
jholmol	ঝলমল
jholmole	ঝলমলে
jibon	জীবন
jodi	যদি
joint	জইয়েনট
jokhon	যখন
jonno	জন্য
josna	জ্যোৎস্না
josnamoy	জ্যোৎস্নাময়
josnarat	জ্যোৎস্নারাত
josnarate	জ্যোৎস্নারাতে
josnaratri	জ্যোৎস্নারাত্রি
josnate	জ্যোৎস্নাতে
josnay	জ্যোৎস্নায়
journalism	জার্নালিজম
journalist	জার্নালিস্ট
jukti	যুক্তি
july	জুলাই
jyoti	জ্যোতি
kaktal	কাকতাল
kaktaliyo	কাকতালীয়
kaktaliyobhabe	কাকতালীয়ভাবে
kaktaliyovabe	কাকতালীয়ভাবে
kalbela	কালবেলা
kalbilombe	কালবিলম্বে
kalbilombo	কালবিলম্ব
kalboisakhi	কালবৈশাখী
kalboisakhir	কালবৈশাখীর
kalboisakhite	কালবৈশাখীতে
kalboishakhi	কালবৈশাখী
kalboishakhir	কালবৈশাখীর
kalboishakhite	কালবৈশাখীতে
kalbosekhi	কালবোশেখী
kalboshekhi	কালবোশেখী
kalke	কালকে
kalker	কালকের
kalkrome	কালক্রমে
kalprobahe	কালপ্রবাহে
kalprobaho	কালপ্রবাহ
kalprobhab	কালপ্রভাব
kalprobhabe	কালপ্রভাবে
kalprovab	কালপ্রভাব
kalprovabe	কালপ্রভাবে
kalpurush	কালপুরুষ
kalpurushe	কালপুরুষে
kalpurusher	কালপুরুষের
kalrat	কালরাত
kalrate	কালরাতে
kalrater	কালরাতের
kalratri	কালরাত্রি
kalratrire	কালরাত্রিরে
kambai	কামবাই
kamla	কামলা
kamlader	কামলাদের
kamladerke	কামলাদেরকে
kamlara	কামলারা
kampirito	কামপীড়িত
kamra	কামরা
kamragulo	কামরাগুলো
kamrate	কামরাতে
kamray	কামরায়
kangkhito	কাঙ্ক্ষিত
kankata	কানকাটা
kankhara	কানখাড়া
kanko	কানকো
karonta	কারণটা
karonti	কারণটি
kartik	কার্ত্তিক
kasba	কসবা
katrani	কাতরানি
katranir	কাতরানির
katrano	কাতরানো
katranor	কাতরানোর
kb	কেবি
key	কী
keyboard	কীবোর্ড
keypad	কী-প্যাড
khanni	খাননি
kharagpur	খড়্গপুর
khelenni	খেলেননি
khetre	ক্ষেত্রে
khetrei	ক্ষেত্রেই
khetro	ক্ষেত্র
khetrobishesh	ক্ষেত্রবিশেষ
khetrofol	ক্ষেত্রফল
khoda	খোদা
khoma	ক্ষমা
khoti	ক্ষতি
khotibriddhi	ক্ষতিবৃদ্ধি
khotibrriddhi	ক্ষতিবৃদ্ধি
khotikor	ক্ষতিকর
khulbe	খুলবে
khulben	খুলবেন
khulbo	খুলবো
khullam	খুললাম
khulle	খুললে
khullen	খুললেন
khulli	খুললি
kilbil	কিলবিল
kilbile	কিলবিলে
kilo	কিলো
kingdom	কিংডম
kintam	কিনতাম
kinte	কিনতে
kinten	কিনতেন
kinti	কিনতি
kipta	কিপটা
kiptami	কিপটামি
kiptamo	কিপটামো
kisu	কিছু
kisui	কিছুই
kitchen	কিচেন
km	কিমি.
kobji	কবজি
kolkarkhana	কলকারখানা
kolkarkhanar	কলকারখানার
kolkarkhanay	কলকারখানায়
kolkata	কলকাতা
kolkatai	কলকাতাই
kolkatar	কলকাতার
kolkatate	কলকাতাতে
kolkatay	কলকাতায়
kolkobja	কলকব্জা
kolkol	কলকল
kolkollol	কলকল্লোল
kolkonth	কলকন্ঠ
kollan	কল্যাণ
kollanpur	কল্যাণপুর
kolma	কলমা
kolombaj	কলমবাজ
kolombaji	কলমবাজী
komolmoti	কোমলমতি
kompokkhe	কমপক্ষে
konjuspona	কঞ্জুসপনা
konkon	কনকন
konkonani	কনকনানি
konkone	কনকনে
konokmoy	কনকময়
konokmukut	কনকমুকুট
konokmukute	কনকমুকুটে
konta	কোনটা
konti	কোনটি
korenni	করেননি
korrtitto	কর্তৃত্ব
korrtobbo	কর্তব্য
kosrot	কসরত
kosrote	কসরতে
kosroter	কসরতের
kosroti	কসরতী
koththo	কথ্য
kotokkhani	কতকখানি
kotokta	কতকটা
koyekta	কয়েকটা
koyekti	কয়েকটি
kukkhato	কুখ্যাত
kulgorima	কুলগরিমা
kulgorrbe	কুলগর্বে
kulgorrbo	কুলগর্ব
kulgourob	কুলগৌরব
kulgourobe	কুলগৌরবে
kulguru	কুলগুরু
kulkamini	কুলকামিনী
kulkolonker	কুলকলঙ্কের
kulkolonki	কুলকলঙ্কী
kulkolonkini	কুলকলঙ্কিনী
kulkolonko	কুলকলঙ্ক
kulkonya	কুলকন্যা
kulkuc	কুলকুচ
kulkuca	কুলকুচা
kulkuco	কুলকুচো
kulkul	কুলকুল
kulta	কুলটা
lab	ল্যাব
lace	লেস
lane	লেন
language	ল্যাঙ্গুয়েজ
lansdown	ল্যান্সডাউন
lassi	লস্যি
launch	লঞ্চ
lawrence	লরেন্স
lawyer	লইয়ার
layer	লেয়ার
layout	লেআউট
lbw	এলবিডব্লিউ
lcd	এলসিডি
lecture	লেকচার
legal	লিগাল
lenovo	লেনোভো
letter	লেটার
letterhead	লেটারহেড
lg	এলজি
library	লাইব্রেরি
life	লাইফ
line	লাইন
linkin	লিন্‌কিন
linux	লিনাক্স
llb	এল.এল.বি
lobby	লবি
local	লোকাল
location	লোকেশান
logic	লজিক
logical	লজিকাল
logo	লোগো
loklok	লকলক
lokloke	লকলকে
london	লন্ডন
lotion	লোশান্‌
lounge	লাউঞ্জ
lunch	লাঞ্চ
luxury	লাক্সারি
macro	ম্যাক্রো
maddox	ম্যাডক্স
magazine	ম্যাগাজিন
magistrate	ম্যাজিস্ট্রেট
maharashtra	মহারাষ্ট্র
mahatma	মহাত্মা
mail	মেইল
maitreyee	মৈত্রেয়ী
majumdar	মজুমদার
maldah	মালদহ
mallik	মল্লিক
mallika	মল্লিকা
mamata	মমতা
mamla	মামলা
mamlar	মামলার
mamlay	মামলায়
mamtaj	মমতাজ
management	ম্যানেজমেন্ট
managing	ম্যানেজিং
mandela	ম্যান্ডেলা
mangourob	মানগৌরব
manmohan	মনমোহন
mansommoto	মানসম্মত
mante	মানতে
manten	মানতেন
manti	মানতি
manto	মানত
maradona	মারাদোনা
march	মার্চ
markin	মার্কিন
marksbad	মার্কসবাদ
marx	মার্ক্স
massenger	মেসেঞ্জার
matador	ম্যাটাডর
maths	ম্যাথ্‌স
maximize	ম্যাক্সিমাইজ
maximum	ম্যাক্সিমাম
mb	এমবি
mbbs	এমবিবিএস
mechanic	মেকানিক
mechanical	মেকানিক্যাল
mechanism	মেকানিজম
media	মিডিয়া
medical	মেডিকেল
medicine	মেডিসিন
medinipur	মেদিনীপুর
medium	মিডিয়াম
member	মেম্বার
memory	মেমোরি
mercedes	মার্সিডিজ
mess	মেস
messenger	মেসেঞ্জার
metric	মেট্রিক
mexico	মেক্সিকো
micro	মাইক্রো
microbiology	মাইক্রোবায়োলজি
microphone	মাইক্রোফোন
microscope	মাইক্রোস্কোপ
microsoft	মাইক্রোসফট
military	মিলিটারি
mill	মিল
minimize	মিনিমাইজ
minimum	মিনিমাম
minister	মিনিস্টার
minus	মাইনাস
ml	মিলি.
mm	মিমি.
mms	এমএমএস
mohot	মহৎ
money	মানি
mongolbar	মঙ্গলবার
mongolbare	মঙ্গলবারে
mongolgit	মঙ্গলগীত
mongolgrohe	মঙ্গলগ্রহে
mongolgroher	মঙ্গলগ্রহের
mongolgroho	মঙ্গলগ্রহ
mongolia	মঙ্গোলিয়া
mongolkami	মঙ্গলকামী
mongolkamona	মঙ্গলকামনা
mongolkari	মঙ্গলকারী
mongolkarini	মঙ্গলকারিণী
mongolkor	মঙ্গলকর
mongolmoy	মঙ্গলময়
morgue	মর্গ
morning	মর্নিং
mostafa	মোস্তফা
mother	মাদার
motherboard	মাদারবোর্ড
motor	মোটর
motorolla	মটোরোলা
mou	মৌ
mount	মাউন্ট
mousumi	মৌসুমি
mouth	মাউথ
mozilla	মোজিলা
mrigoya	মৃগয়া
mrinmoy	মৃন্ময়
msn	এমএসএন
muffler	মাফ্‌লার
mukherjee	মুখার্জি
multimedia	মাল্টিমিডিয়া
munmun	মুনমুন
museum	মিউজিয়াম
mutton	মাটন
my	মাই
myanmar	মায়ানমার
mymensingh	ময়মনসিংহ
myspace	মাইস্পেস
nakkan	নাককান
nakkata	নাককাটা
nakkhot	নাকখত
namaskar	নমস্কার
namenni	নামেননি
nandigram	নন্দীগ্রাম
napkin	ন্যাপকিন
narayan	নারায়ণ
national	ন্যাশনাল
native	নেটিভ
naxal	নক্সাল
naxalbari	নক্সালবাড়ি
nazmun	নাজমুন
negro	নিগ্রো
net	নেট
network	নেটওয়ার্ক
new	নিউ
news	নিউজ
newspaper	নিউজপেপার
newspapper	নিউজ পেপার
newyork	নিউইয়র্ক
next	নেক্সট
nicobar	নিকোবার
nidankal	নিদানকাল
nidankale	নিদানকালে
night	নাইট
nimokharam	নিমকহারাম
nimokharami	নিমকহারামি
niponwave	নিপনওয়েভ
nobel	নোবেল
nobombar	নবমবার
nojrana	নজরানা
nokia	নোকিয়া
nokri	নকরি
nolkup	নলকূপ
nolkupe	নলকূপে
nolkuper	নলকূপের
nolkupgulo	নলকূপগুলো
nolkupta	নলকূপটা
nonsense	নন্‌সেন্স
nonta	নোনতা
norokkunde	নরককুন্ডে
norokkunder	নরককুন্ডের
norokkundo	নরককুন্ড
north	নর্থ
norton	নরটন
norway	নরওয়ে
note	নোট
notebook	নোটবুক
notepad	নোটপ্যাড
notes	নোট্‌স
notification	নোটিফিকেশান
nouka	নৌকা
november	নভেম্বর
noyongocor	নয়নগোচর
noyonjol	নয়নজল
noyonjole	নয়নজলে
noyonjoler	নয়নজলের
noyonkon	নয়নকোণ
noyonkone	নয়নকোণে
noyonkoner	নয়নকোণের
noyonmoni	নয়নমণি
noyonronjon	নয়নরঞ্জন
noyonsnigdhokor	নয়নস্নিগ্ধকর
noyontara	নয়নতারা
noyontaray	নয়নতারায়
ntfs	এনটিএফএস
numeric	নিউমেরিক
nylon	নাইলন
obyrrtho	অব্যর্থ
october	অক্টোবর
odolbodol	অদলবদল
officer	অফিসার
ogganjonito	অজ্ঞানজনিত
oggankrrito	অজ্ঞানকৃত
oggantimir	অজ্ঞানতিমির
ogotta	অগত্যা
ojondar	ওজনদার
okalbarrdhokyo	অকালবার্ধক্য
okalborrshon	অকালবর্ষণ
okalbrriddho	অকালবৃদ্ধ
okalbrrishti	অকালবৃষ্টি
okalotnama	ওকালতনামা
okalotnamate	ওকালতনামাতে
okalotnamay	ওকালতনামায়
okatmurrkho	অকাটমূর্খ
okatto	অকাট্য
okollan	অকল্যাণ
okorrtobbo	অকর্তব্য
okoththo	অকথ্য
olkopi	ওলকপি
olokmegh	অলকমেঘ
oltano	ওলটানো
olympic	অলিম্পিক
omicronlab	ওমিক্রনল্যাব
omlanmukh	অম্লানমুখ
omlanmukhe	অম্লানমুখে
omra	ওমরা
omrah	ওমরাহ্‌
oncolprobhab	অঞ্চলপ্রভাব
oncolprovab	অঞ্চলপ্রভাব
onekta	অনেকটা
onektai	অনেকটাই
onkontuli	অঙ্কনতুলি
onkontulika	অঙ্কনতুলিকা
onolborrshi	অনলবর্ষী
onolborrshon	অনলবর্ষণ
ononna	অনন্যা
ononno	অনন্য
onudbayi	অনুদ্বায়ী
onudbeg	অনুদ্বেগ
onudbigno	অনুদ্বিগ্ন
onujjol	অনুজ্জ্বল
open	ওপেন
openoffice	ওপেনঅফিস
operating	অপারেটিং
operation	অপারেশান
opomangrostho	অপওমানগ্রস্থ
opomanjonok	অপওমানজনক
opomanjonokvabe	অপওমানজনকভাবে
opomankor	অপওমানকর
optical	অপ্টিকাল
option	অপশন
options	অপশন্‌স
optionti	অপশনটি
orange	অরেঞ্জ
original	অরিজিনাল
orkut	অর্কুট
orkutbaj	অর্কুটবাজ
orkuting	অর্কুটিং
orrthat	অর্থাৎ
osabdhan	অসাবধান
osabdhane	অসাবধানে
osabdhani	অসাবধানী
osabdhanota	অসাবধানতা
oshtombar	অষ্টমবার
osonkho	অসংখ্য
ostacolgami	অস্তাচলগামী
ostacolgoto	অস্তাচলগত
otopor	অতঃপর
ounce	আউন্স
out	আউট
outbox	আউটবক্স
outline	আউটলাইন
over	ওভার
overhead	ওভারহেড
ovyasmoto	অভ্যাসমত
owo	OwO
oxford	অক্সফোর্ড
oxygen	অক্সিজেন
oyoncolon	অয়নচলন
oyoncolone	অয়নচলনে
oyonkal	অয়নকাল
oyonkale	অয়নকালে
pack	প্যাক
paediatrics	পেডিয়াট্রিক্স
page	পেজ
pagla	পাগলা
paglami	পাগলামি
paglamo	পাগলামো
pagli	পাগলী
paint	পেইন্ট
painting	পেইন্টিং
palki	পালকি
palmtop	পামটপ
palokmata	পালকমাতা
palokmatar	পালকমাতার
palta	পাল্টা
palta	পালটা
paltano	পালটানো
paltay	পালটায়
palte	পালটে
palti	পালটি
paltiye	পালটিয়ে
pancayet	পঞ্চায়েত
panel	প্যানেল
panroto	পানরত
panty	প্যান্টি
pappunyo	পাপপূণ্য
pargana	পরগণা
parker	পার্কার
partha	পার্থ
partition	পার্টিশন
pashanmoy	পাষাণময়
patel	প্যাটেল
patent	পেটেন্ট
pathology	প্যাথলজি
patrika	পত্রিকা
pause	পজ
pc	পিসি
pencil	পেন্সিল
pentagon	পেন্টাগন
perfume	পারফিউম
pervez	পার্ভেজ
petro	পেট্রো
petrol	পেট্রোল
pharmacology	ফার্মাকোলজি
phatna	ফাতনা
phatnar	ফাতনার
phatnay	ফাতনায়
phelbe	ফেলবে
phelben	ফেলবেন
phelbi	ফেলবি
phelbo	ফেলব
phellam	ফেললাম
phelle	ফেললে
phellen	ফেললেন
phelleo	ফেললেও
phelli	ফেললি
phello	ফেলল
phinki	ফিনকি
phirenni	ফিরেননি
phitna	ফিতনা
phonetic	ফনেটিক
photocopy	ফটোকপি
photoshop	ফটোশপ
php	পিএইচপি
phulbabu	ফুলবাবু
phulbabuder	ফুলবাবুদের
phulbabura	ফুলবাবুরা
phulbagan	ফুলবাগান
phulbagane	ফুলবাগানে
phulbaganer	ফুলবাগানের
phulkopi	ফুলকপি
phulkopir	ফুলকপির
phuslano	ফুসলানো
phusle	ফুসলে
phusliye	ফুসলিয়ে
physics	ফিজিক্‌স
picture	পিকচার
piracy	পাইরেসি
pirate	পাইরেট
place	প্লেস
play	প্লে
player	প্লেয়ার
plug	প্লাগ
plus	প্লাস
point	পইয়েনট
pokhraj	পোখরাজ
political	পলিটিকাল
politics	পলিটিক্স
poncombar	পঞ্চমবার
porenni	পড়েননি
porjonto	পর্যন্ত
poroborti	পরবর্তী
port	পোর্ট
portable	পোর্টেবল
portugal	পর্তুগাল
poscimbonge	পশ্চিমবঙ্গে
poscimbongei	পশ্চিমবঙ্গেই
poscimbonger	পশ্চিমবঙ্গের
poscimbongo	পশ্চিমবঙ্গ
poshcimbangla	পশ্চিমবাংলা
poshcimbanglar	পশ্চিমবাংলার
poshcimbanglate	পশ্চিমবাংলাতে
poshcimbanglay	পশ্চিমবাংলায়
poshcimbonge	পশ্চিমবঙ্গে
poshcimbongei	পশ্চিমবঙ্গেই
poshcimbonger	পশ্চিমবঙ্গের
poshcimbongo	পশ্চিমবঙ্গ
postmortem	পোস্টমর্টেম
postpaid	পোস্টপেড
potter	পটার
pound	পাউন্ড
power	পাওয়ার
powerpoint	পাওয়ারপইয়েনট
prabir	প্রবীর
pradesh	প্রদেশ
pranab	প্রণব
pratiti	প্রতীতি
pregnancy	প্রেগন্যান্সি
pregnant	প্রেগন্যান্ট
prepaid	প্রিপেড
presentation	প্রেজেন্টেশান
president	প্রেসিডেন্ট
press	প্রেস
preview	প্রিভিউ
prime	প্রাইম
print	প্রিন্ট
prize	প্রাইজ
professional	প্রোফেসনাল
professor	প্রোফেসর
programme	প্রোগ্রাম
programming	প্রোগ্রামিং
progress	প্রোগ্রেস
project	প্রোজেক্ট
projector	প্রোজেক্টর
prokashman	প্রকাশমান
prokasman	প্রকাশমান
properties	প্রপার্টিজ
property	প্রপার্টি
prothombar	প্রথমবার
prothombare	প্রথমবারে
prothombarei	প্রথমবারেই
prothombareo	প্রথমবারেও
prothombarer	প্রথমবারের
prottasha	প্রত্যাশা
prottutponnomoti	প্রত্যুৎপন্নমতি
proyojon	প্রয়োজন
proyojonmafik	প্রয়োজনমাফিক
proyojonmaphik	প্রয়োজনমাফিক
proyojonmoto	প্রয়োজনমত
publish	পাবলিশ
publisher	পাবলিশার
pulse	পাল্‌স
race	রেস
racing	রেসিং
rack	র‍্যাক
racket	র‍্যাকেট
ragging	র‍্যাগিং
rahaman	রহওমান
rahman	রাহমান
rahmanir	রাহমানির
rail	রেল
railline	রেললাইন
railway	রেলওয়ে
railways	রেলওয়েজ
rajarshi	রাজর্ষি
rajat	রজত
rajpat	রাজপাট
rakhenni	রাখেননি
ranabir	রণবীর
rape	রেপ
rashtrapati	রাষ্ট্রপতি
rastrapati	রাষ্ট্রপতি
raw	র'
reader	রিডার
recent	রিসেন্ট
reception	রিসেপশান
receptionist	রিসেপশানিস্ট
recipe	রেসিপি
recycle	রিসাইকেল
referee	রেফারী
refresh	রিফ্রেশ
register	রেজিস্টার
registration	রেজিস্ট্রেশান
rehman	রেহমান
relgari	রেলগাড়ি
relgarir	রেলগাড়ির
relgarita	রেলগাড়িটা
reliance	রিলাইয়েনস
rellain	রেললাইন
relpoth	রেলপথ
relpothe	রেলপথে
relpother	রেলপথের
remote	রিমোট
remove	রিমুভ
repair	রিপেয়ার
replace	রিপ্লেস
resize	রিসাইজ
resolution	রেজোলিউশান
rhombus	রম্বস
richard	রিচার্ড
right	রাইট
rights	রাইট্‌স
ringtone	রিংটোন
rituparna	ঋতুপর্ণা
rizwanur	রিজওয়ানুর
robbar	রোববার
robot	রোবট
rodon	রোদন
rogmukti	রোগমুক্তি
rogmuktir	রোগমুক্তির
rogmukto	রোগমুক্ত
rohman	রহমান
ronaldinho	রোনাল্ডিনহো
ronaldo	রোনাল্ডো
rong	রঙ
ronger	রঙের
route	রুট
row	রো
rringrahi	ঋণগ্রাহী
rringrohita	ঋণগ্রহীতা
rringrohon	ঋণগ্রহণ
rringrostho	ঋণগ্রস্থ
rrinmocon	ঋণমোচন
rrinmukti	ঋণমুক্তি
rrinmukto	ঋণমুক্ত
rss	আর.এস.এস
rubber	রাবার
rugby	রাগবি
rumpa	রূম্পা
rupam	রূপম
russia	রাশিয়া
sabdhan	সাবধান
sabdhane	সাবধানে
sabdhani	সাবধানী
sabdhanota	সাবধানতা
sabyasaci	সব্যসাচী
saint	সেন্ট
saltlake	সল্টলেক
samla	সামলা
samlan	সামলান
samlano	সামলানো
samlao	সামলাও
samna	সামনা
samnasamni	সামনাসামনি
samne	সামনে
samni	সামনি
samsung	স্যামসাঙ
sanitary	স্যানিটারি
sanjana	সঞ্জনা
saptarshi	সপ্তর্ষি
saraswati	সরস্বতী
saswata	শাশ্বত
satej	সতেজ
sauce	সস
saudi	সৌদি
saurav	সৌরভ
save	সেভ
scholar	স্কলার
schoole	স্কুলে
schooler	স্কুলের
science	সাইয়েনস
scooter	স্কুটার
scotch	স্কচ
scotland	স্কটল্যান্ড
scrap	স্ক্র্যাপ
screen	স্ক্রীন
scroll	স্ক্রল
scrollbar	স্ক্রলবার
sealda	শিয়ালদা
sealdah	শিয়ালদহ
sekhetre	সেক্ষেত্রে
sekhetrei	সেক্ষেত্রেই
sekhetreo	সেক্ষেত্রেও
select	সিলেক্ট
sengupta	সেনগুপ্ত
september	সেপ্টেম্বর
serial	সিরিয়াল
series	সিরিজ
service	সার্ভিস
services	সার্ভিসেস
session	সেশান
set	সেট
settings	সেটিংস্‌
sexy	সেক্সি
shampoo	শ্যাম্পু
shanghai	সাংহাই
shankar	শঙ্কর
shantiniketan	শান্তিনিকেতন
shapla	শাপলা
shaplar	শাপলার
shaplara	শাপলারা
sharatchandra	শরৎচন্দ্র
share	শেয়ার
sharma	শর্মা
shift	শিফট
shobdaho	শবদাহ
shobdahok	শবদাহক
shobdahon	শবদাহন
shobdeho	শবদেহ
shock	শক
shocker	শকার
shoe	শু
sholoana	ষোলআনা
sholoanai	ষোলআনাই
shonni	শোননি
shopping	শপিং
shortcut	শর্টকাট
shounak	শৌনক
show	শো
shreyasee	শ্রেয়সী
shreyasi	শ্রেয়সী
shunno	শুন্য
shunnota	শুন্যতা
shuntam	শুনতাম
shunte	শুনতে
shunten	শুনতেন
shunti	শুনতি
siddhartha	সিদ্ধার্থ
siemens	সিমেন্স
sign	সাইন
signature	সিগনেচার
siliguri	শিলিগুড়ি
silmohor	সীলমোহর
simanto	সীমান্ত
singapore	সিঙ্গাপুর
singh	সিংহ
sir	স্যার
site	সাইট
skirt	স্কার্ট
slide	স্লাইড
small	স্মল
smart	স্মার্ট
sms	এসএমএস
sobdaho	শবদাহ
sobdahok	শবদাহক
sobdahon	শবদাহন
sobdeho	শবদেহ
sobji	সবজি
sobkhetre	সবক্ষেত্রে
sobkhetro	সবক্ষেত্র
soft	সফট
software	সফটওয়্যার
soldier	সোলজার
somadhanti	সমাধানটি
somak	সোমক
sombar	সোমবার
somen	সোমেন
sommanjonok	সম্মানজনক
sommankor	সম্মানকর
somrat	সম্রাট
sonali	সোনালি
sonar	সোনার
sondha	সন্ধ্যা
sondhamaloti	সন্ধ্যামালতি
sonni	শোননি
sony	সনি
soptombar	সপ্তমবার
sot	সৎ
sotti	সত্যি
sotto	সত্য
soumya	সৌম্য
soumyajyoti	সৌম্যজ্যোতি
sound	সাউন্ড
source	সোর্স
south	সাউথ
space	স্পেস
spider	স্পাইডার
sports	স্পোর্টস
spy	স্পাই
spycam	স্পাইক্যাম
spyware	স্পাইওয়্যার
square	স্কোয়ার
sri	শ্রী
srijani	শ্রীজনী
srikanta	শ্রীকান্ত
srilanka	শ্রীলঙ্কা
sriman	শ্রীমান
srimati	শ্রীমতি
srizon	সৃজন
stamp	স্ট্যাম্প
stand	স্ট্যান্ড
standard	স্ট্যান্ডার্ড
star	স্টার
start	স্টার্ট
states	স্টেট্‌স
steam	স্টিম
steering	স্টিয়ারিং
sthankalpatro	স্থানকালপাত্র
stick	স্টিক
stock	স্টক
stool	স্টুল
street	স্ট্রিট
string	স্ট্রিং
stupid	স্টুপিড
subarna	সুবর্ণা
subhodip	শুভদীপ
subject	সাবজেক্ট
suchitra	সুচিত্রা
sudoku	সুডোকু
suitcase	সুটকেস
suite	স্যুট
suman	সুমন
sumana	সুমনা
superman	সুপারম্যান
support	সাপোর্ট
surf	সার্ফ
surgery	সার্জারি
swarnendu	স্বর্নেন্দু
sweater	সোয়েটার
sweety	সুইটি
swiss	সুইস
switch	সুইচ
sydney	সিডনি
syria	সিরিয়া
system	সিস্টেম
tab	ট্যাব
tabla	তবলা
tagore	টেগোর
tajmahal	তাজমহল
takri	টাকরি
talbahana	টালবাহানা
talgach	তালগাছ
talgache	তালগাছে
talgachgulo	তালগাছগুলো
talgachta	তালগাছটা
talgachtai	তালগাছটাই
talgachtay	তালগাছটায়
talk	টক
talkana	তালকানা
talkanar	তালকানার
talkanata	তালকানাটা
talmafik	তালমাফিক
talmaphik	তালমাফিক
talmatal	টালমাটাল
talmoto	তালমত
talpata	তালপাতা
talpatar	তালপাতার
talpatay	তালপাতায়
talpotre	তালপত্রে
talpotrer	তালপত্রের
talpotro	তালপত্র
tamali	তমালি
tank	ট্যাঙ্ক
tarzan	টারজান
task	টাস্ক
taskbar	টাস্কবার
tata	টাটা
tax	ট্যাক্স
taxi	ট্যাক্সি
tech	টেক
technician	টেকনিশিয়ান
technology	টেকনোলজি
techpointer	টেকপইয়েনটার
telephone	টেলিফোন
telescope	টেলিস্কোপ
teletalk	টেলিটক
television	টেলিভিসান
temni	তেমনি
temnibhabe	তেমনিভাবে
temnikore	তেমনিকরে
temnivabe	তেমনিভাবে
temporary	টেম্পোরারি
tennis	টেনিস
testimonial	টেস্টইমোনিয়াল
text	টেক্সট
textbox	টেক্সটবক্স
textile	টেক্সটাইল
tft	টিএফটি
thakenni	থাকেননি
thaklam	থাকলাম
thakle	থাকলে
thaklei	থাকলেই
thakleo	থাকলেও
thaklo	থাকল
thakrun	ঠাকরুন
thaktam	থাকতাম
thakte	থাকতে
thakten	থাকতেন
thakti	থাকতি
thakur	ঠাকুর
thandi	ঠানদি
thandidi	ঠানদিদি
theater	থিয়েটার
thikmoto	ঠিকমত
thikmotoi	ঠিকমতই
thikthik	ঠিকঠিক
thonthon	ঠনঠন
thonthone	ঠনঠনে
threat	থ্রেট
tiktik	টিকটিক
tiktiki	টিকটিকি
tilottoma	তিলোত্তমা
times	টাইম্‌স
tingun	তিনগুন
tinjon	তিনজন
tinjona	তিনজনা
tinjone	তিনজনে
tinjoner	তিনজনের
tinjonerta	তিনজনেরটা
tinkal	তিনকাল
tinrokom	তিনরকম
tinta	তিনটা
tintaka	তিনটাকা
tintane	তিনটানে
tintanei	তিনটানেই
tinti	তিনটি
tintin	টিনটিন
tips	টিপস
tipsohi	টিপসহি
tipsohir	টিপসহির
tipsoi	টিপসই
tiptip	টিপটিপ
titanic	টাইটানিক
tobla	তবলা
tohfa	তোহফা
toiri	তৈরী
tokhonkar	তখনকার
tokhonkarta	তখনকারটা
toklif	তকলিফ
tokliph	তকলিফ
tokma	তকমা
toktok	তকতক
toktok	টকটক
toktoke	তকতকে
tokyo	টোকিয়ো
tollygunge	টালিগঞ্জ
tolmol	টলমল
tolmole	টলমলে
tolpet	তলপেট
tolpete	তলপেটে
tolpeter	তলপেটের
