# emoji	category	en keywords	bn keywords	parent	name
🧜‍♂️	people	creature,fairytale,folklore,merman,neptune,ocean,poseidon,sea,siren,trident,triton	ট্রিটন,মারম্যান	🧜	merman
🧜‍♀️	people	creature,fairytale,folklore,mermaid,merwoman,ocean,sea,siren,trident	মারউইমেন,মারমেড	🧜	mermaid
🧝	people	elf,elves,enchantment,fantasy,folklore,magic,magical,myth	এল্ফ,জাদুকর,জাদুকরী,পরী,ব্যক্তি,মানুষ,স্মাইলি		elf
🧝‍♂️	people	elf,elves,enchantment,fantasy,folklore,magic,magical,man,myth,man elf	জাদুকরী,পুরুষ এল্ফ	🧝	man elf
🧝‍♀️	people	elf,elves,enchantment,fantasy,folklore,magic,magical,myth,woman,woman elf	জাদুকরী,মহিলা এল্ফ	🧝	woman elf
🧞	people	djinn,fantasy,genie,jinn,lamp,myth,rub,wishes	আশ্চর্য প্রদীপ,জিনি,জীনি,জ্বিন,জ্বীন জাতি,প্রদীপ ঘষা,রূপকথা		genie
🧞‍♂️	people	djinn,fantasy,genie,jinn,lamp,man,myth,rub,wishes,man genie	জ্বীন জাতি,পুরুষ জীনি	🧞	man genie
🧞‍♀️	people	djinn,fantasy,genie,jinn,lamp,myth,rub,wishes,woman,woman genie	জ্বীন জাতি,মহিলা জীনি	🧞	woman genie
🧟	people	apocalypse,dead,halloween,horror,scary,undead,walking,zombie	আধমরা,ওয়াকিং ডেড,জম্বি,ব্যক্তি,ভয়,ভয়ংকর,ভীতিকর,মানুষ,স্মাইলি,হ্যালোইন		zombie
🧟‍♂️	people	apocalypse,dead,halloween,horror,man,scary,undead,walking,zombie,man zombie	আধমরা,ওয়াকিং ডেড,পুরুষ জম্বি	🧟	man zombie
🧟‍♀️	people	apocalypse,dead,halloween,horror,scary,undead,walking,woman,zombie,woman zombie	আধমরা,ওয়াকিং ডেড,মহিলা জম্বি	🧟	woman zombie
🧌	people	fairy,fantasy,monster,tale,troll,trolling	অতিমানবিক জীব,কাল্পনিক,ট্রোল,দানব,রাক্ষস,রূপকথা		troll
🫈	people	bigfoot,cryptid,forest,giant,hairy,sasquatch,woodwose,yeti,hairy creature,creature	ইয়েতি,উডওস,ক্রিপ্টিড,দৈত্য,বন,বিগফুট,লোমশ,সাসক্যাচ,লোমশ দ্বিপদ		hairy creature
💆	people	face,getting,headache,massage,person,relax,relaxing,salon,soothe,spa,tension,therapy,treatment,person getting massage	আরাম,আরামদায়ক,একজন ব্যক্তি ম্যাসেজ পাচ্ছেন,চিকিৎসা,থেরাপি,প্রশান্তি,ফেস ম্যাসেজ,মাথাব্যথা,ম্যাসাজ,সেলুন,স্যালুন		person getting massage
💆‍♂️	people	face,getting,headache,man,massage,relax,relaxing,salon,soothe,spa,tension,therapy,treatment,man getting massage	আরাম,ছেলে,ছেলেদের ফেস মাসাজ,পুরুষ,ব্যক্তি,মাথা ব্যাথা,মানুষ,মাসাজ,মুখ,ম্যাসেজ,স্মাইলি	💆	man getting massage
💆‍♀️	people	face,getting,headache,massage,relax,relaxing,salon,soothe,spa,tension,therapy,treatment,woman,woman getting massage	মহিলা,মাসাজ,মুখ,মেয়ে,মেয়েদের ফেস মাসাজ	💆	woman getting massage
💇	people	barber,beauty,chop,cosmetology,cut,groom,hair,haircut,parlor,person,shears,style,person getting haircut,getting	কাঁচি,কাটা,কেশ,চুল কাটা,চুল কাটাচ্ছে,নাপিত,পার্লার,প্রসাধন,বিউটিপার্লার,সেলুন,সৌন্দর্য্য,স্টাইল		person getting haircut
💇‍♂️	people	barber,beauty,chop,cosmetology,cut,groom,hair,haircut,man,parlor,person,shears,style,man getting haircut,getting	চুল কাটা,ছেলে,ছেলেদের চুল কাটা,পুরুষ,ব্যক্তি,মানুষ,স্মাইলি	💇	man getting haircut
💇‍♀️	people	barber,beauty,chop,cosmetology,cut,groom,hair,haircut,parlor,person,shears,style,woman,woman getting haircut,getting	চুল কাটা,মহিলা,মেয়ে,মেয়েদের চুল কাটা	💇	woman getting haircut
🚶	people	amble,gait,hike,man,pace,pedestrian,person,stride,stroll,walk,walking,person walking	অগ্রসর,চলমান,চলা,চলাফেরা,টহল দেওয়া,ধীর গতিতে হাঁটা,পথ চলা,পথচারী,পায়চারি করা,ব্যক্তির হাঁটা,ভবঘুরে,ভ্রমণ করা,হাঁটা,হেঁটে যাওয়া		person walking
🚶‍♂️	people	amble,gait,hike,man,pace,pedestrian,stride,stroll,walk,walking,man walking	ছেলে,ছেলেদের হাঁটা,পুরুষ,হনটন,হাঁটা	🚶	man walking
🚶‍♀️	people	amble,gait,hike,man,pace,pedestrian,stride,stroll,walk,walking,woman,woman walking	ঘোরা,মহিলা,মেয়ে,মেয়েদের হাঁটা,হনটন,হাইক,হাঁটা	🚶	woman walking
🚶‍➡️	people	amble,facing,gait,hike,man,pace,pedestrian,person,right,stride,stroll,walk,walking,person walking,facing right	অগ্রসর,আছে,করে,চলমান,চলা,চলাফেরা,টহল দেওয়া,ডান,দিকে,ধীর গতিতে হাঁটা,পথ চলা,পথচারী,পায়চারি করা,ব্যক্তির হাঁটা,ভবঘুরে,ভ্রমণ করা,মুখ,হাঁটা,হেঁটে যাওয়া,ডান দিকে মুখ করে আছে		person walking facing right
🚶‍♀️‍➡️	people	amble,facing,gait,hike,man,pace,pedestrian,right,stride,stroll,walk,walking,woman,woman walking,facing right	আছে,করে,ঘোরা,ডান,দিকে,মহিলা,মুখ,মেয়ে,মেয়েদের হাঁটা,হনটন,হাইক,হাঁটা,ডান দিকে মুখ করে আছে	🚶‍➡️	woman walking facing right
🚶‍♂️‍➡️	people	amble,facing,gait,hike,man,pace,pedestrian,right,stride,stroll,walk,walking,man walking,facing right	আছে,করে,ছেলে,ছেলেদের হাঁটা,ডান,দিকে,পুরুষ,মুখ,হনটন,হাঁটা,ডান দিকে মুখ করে আছে	🚶‍➡️	man walking facing right
🧍	people	person,stand,standing,person standing	এক জন দাঁড়িয়ে আছে,দাঁড়ান,দাঁড়ানো,পকেটে হাত দিয়ে একজন দাঁড়িয়ে,পকেটে হাত দিয়ে দাঁড়িয়ে থাকা,মানুষ		person standing
🧍‍♂️	people	man,stand,standing,man standing	দাঁড়িয়ে থাকা,দাঁড়িয়ে থাকা পুরুষ,পুরুষ	🧍	man standing
🧍‍♀️	people	stand,standing,woman,woman standing	দাঁড়ানো,দাঁড়িয়ে থাকা মহিলা,মহিলা	🧍	woman standing
🧎	people	kneel,kneeling,knees,person,person kneeling	মানুষ,হাঁটু গেড়ে,হাঁটু গেড়ে বসা,হাঁটু গেড়ে বসে থাকা মহিলা,হাঁটুতে ভর দিয়ে বসা		person kneeling
🧎‍♂️	people	kneel,kneeling,knees,man,man kneeling	পুরুষ,হাঁটু গেড়ে বসা,হাঁটু গেড়ে বসা পুরুষ	🧎	man kneeling
🧎‍♀️	people	kneel,kneeling,knees,woman,woman kneeling	মহিলা,হাঁটু গেড়ে বসা,হাঁটু গেড়ে বসা মহিলা	🧎	woman kneeling
🧎‍➡️	people	facing,kneel,kneeling,knees,person,right,person kneeling,facing right	আছে,করে,ডান,দিকে,মানুষ,মুখ,হাঁটু গেড়ে,হাঁটু গেড়ে বসা,হাঁটু গেড়ে বসে থাকা মহিলা,হাঁটুতে ভর দিয়ে বসা,ডান দিকে মুখ করে আছে		person kneeling facing right
🧎‍♀️‍➡️	people	facing,kneel,kneeling,knees,right,woman,woman kneeling,facing right	আছে,করে,ডান,দিকে,মহিলা,মুখ,হাঁটু গেড়ে বসা,হাঁটু গেড়ে বসা মহিলা,ডান দিকে মুখ করে আছে	🧎‍➡️	woman kneeling facing right
🧎‍♂️‍➡️	people	facing,kneel,kneeling,knees,man,right,man kneeling,facing right	আছে,করে,ডান,দিকে,পুরুষ,মুখ,হাঁটু গেড়ে বসা,হাঁটু গেড়ে বসা পুরুষ,ডান দিকে মুখ করে আছে	🧎‍➡️	man kneeling facing right
🧑‍🦯	people	accessibility,blind,cane,person,probing,white,person with white cane,with	অন্ধ,অন্ধের ছড়ি,অ্যাকসেসিবিলিটি,সাদা ছড়ি নিয়ে ব্যক্ত		person with white cane
🧑‍🦯‍➡️	people	accessibility,blind,cane,facing,person,probing,right,white,person with white cane,facing right,with	অন্ধ,অন্ধের ছড়ি,অ্যাকসেসিবিলিটি,আছে,করে,ডান,দিকে,মুখ,সাদা ছড়ি নিয়ে ব্যক্ত,ডান দিকে মুখ করে আছে		person with white cane facing right
👨‍🦯	people	accessibility,blind,cane,man,probing,white,man with white cane,with	অন্ধ,অ্যাক্সেসিবিলিটি,ছড়ি হাতে পুরুষ,পুরুষ,মানুষ,লাঠি হাতে অন্ধব্যক্তি,হাতে লাঠি	🧑‍🦯	man with white cane
👨‍🦯‍➡️	people	accessibility,blind,cane,facing,man,probing,right,white,man with white cane,facing right,with	অন্ধ,অ্যাক্সেসিবিলিটি,আছে,করে,ছড়ি হাতে পুরুষ,ডান,দিকে,পুরুষ,মানুষ,মুখ,লাঠি হাতে অন্ধব্যক্তি,হাতে লাঠি,ডান দিকে মুখ করে আছে	🧑‍🦯‍➡️	man with white cane facing right
👩‍🦯	people	accessibility,blind,cane,probing,white,woman,woman with white cane,with	অন্ধ,অন্ধ মহিলা হাতে লাঠি,অ্যাক্সেসিবিলিটি,ছড়ি হাতে মহিলা,মহিলা,মানুষ	🧑‍🦯	woman with white cane
👩‍🦯‍➡️	people	accessibility,blind,cane,facing,probing,right,white,woman,woman with white cane,facing right,with	অন্ধ,অন্ধ মহিলা হাতে লাঠি,অ্যাক্সেসিবিলিটি,আছে,করে,ছড়ি হাতে মহিলা,ডান,দিকে,মহিলা,মানুষ,মুখ,ডান দিকে মুখ করে আছে	🧑‍🦯‍➡️	woman with white cane facing right
🧑‍🦼	people	accessibility,motorized,person,wheelchair,person in motorized wheelchair,in	অ্যাকসেসিবিলিটি,মনিটর করা হুইলচেয়ার,হুইলচেয়ার		person in motorized wheelchair
🧑‍🦼‍➡️	people	accessibility,facing,motorized,person,right,wheelchair,person in motorized wheelchair,facing right,in	অ্যাকসেসিবিলিটি,আছে,করে,ডান,দিকে,মনিটর করা হুইলচেয়ার,মুখ,হুইলচেয়ার,ডান দিকে মুখ করে আছে		person in motorized wheelchair facing right
👨‍🦼	people	accessibility,man,motorized,wheelchair,man in motorized wheelchair,in	অটোমেটিক হুইলচেয়ারে পুরুষ,অ্যাক্সেসিবিলিটি,পুরুষ,মানুষ,যান্ত্রিক হুইলচেয়ারে পুরুষ,হুইলচেয়ার	🧑‍🦼	man in motorized wheelchair
👨‍🦼‍➡️	people	accessibility,facing,man,motorized,right,wheelchair,man in motorized wheelchair,facing right,in	অটোমেটিক হুইলচেয়ারে পুরুষ,অ্যাক্সেসিবিলিটি,আছে,করে,ডান,দিকে,পুরুষ,মানুষ,মুখ,যান্ত্রিক হুইলচেয়ারে পুরুষ,হুইলচেয়ার,ডান দিকে মুখ করে আছে	🧑‍🦼‍➡️	man in motorized wheelchair facing right
👩‍🦼	people	accessibility,motorized,wheelchair,woman,woman in motorized wheelchair,in	অটোমেটিক হুইলচেয়ারে মহিলা,অ্যাক্সেসিবিলিটি,মহিলা,মানুষ,যান্ত্রিক হুইলচেয়ারে মহিলা,হুইলচেয়ার	🧑‍🦼	woman in motorized wheelchair
👩‍🦼‍➡️	people	accessibility,facing,motorized,right,wheelchair,woman,woman in motorized wheelchair,facing right,in	অটোমেটিক হুইলচেয়ারে মহিলা,অ্যাক্সেসিবিলিটি,আছে,করে,ডান,দিকে,মহিলা,মানুষ,মুখ,যান্ত্রিক হুইলচেয়ারে মহিলা,হুইলচেয়ার,ডান দিকে মুখ করে আছে	🧑‍🦼‍➡️	woman in motorized wheelchair facing right
🧑‍🦽	people	accessibility,manual,person,wheelchair,person in manual wheelchair,in	অ্যাকসেসিবিলিটি,ম্যানুয়াল হুইলচেয়ারে বসা ব্যক্তি,হুইলচেয়ার		person in manual wheelchair
🧑‍🦽‍➡️	people	accessibility,facing,manual,person,right,wheelchair,person in manual wheelchair,facing right,in	অ্যাকসেসিবিলিটি,আছে,করে,ডান,দিকে,মুখ,ম্যানুয়াল হুইলচেয়ারে বসা ব্যক্তি,হুইলচেয়ার,ডান দিকে মুখ করে আছে		person in manual wheelchair facing right
👨‍🦽	people	accessibility,man,manual,wheelchair,man in manual wheelchair,in	অ্যাক্সেসিবিলিটি,পুরুষ,মানুষ,ম্যানুয়াল হুইলচেয়ারে পুরুষ,ম্যানুয়াল হুইলচেয়ারে মানুষ,হাতে ঠেলা হুইলচেয়ারে পুরুষ,হুইলচেয়ার	🧑‍🦽	man in manual wheelchair
👨‍🦽‍➡️	people	accessibility,facing,man,manual,right,wheelchair,man in manual wheelchair,facing right,in	অ্যাক্সেসিবিলিটি,আছে,করে,ডান,দিকে,পুরুষ,মানুষ,মুখ,ম্যানুয়াল হুইলচেয়ারে পুরুষ,ম্যানুয়াল হুইলচেয়ারে মানুষ,হাতে ঠেলা হুইলচেয়ারে পুরুষ,হুইলচেয়ার,ডান দিকে মুখ করে আছে	🧑‍🦽‍➡️	man in manual wheelchair facing right
👩‍🦽	people	accessibility,manual,wheelchair,woman,woman in manual wheelchair,in	অ্যাক্সেসিবিলিটি,মহিলা,মানুষ,ম্যানুয়াল হুইলচেয়ারে মহিলা,হাতে ঠেলা হুইলচেয়ারে মহিলা,হুইলচেয়ার	🧑‍🦽	woman in manual wheelchair
👩‍🦽‍➡️	people	accessibility,facing,manual,right,wheelchair,woman,woman in manual wheelchair,facing right,in	অ্যাক্সেসিবিলিটি,আছে,করে,ডান,দিকে,মহিলা,মানুষ,মুখ,ম্যানুয়াল হুইলচেয়ারে মহিলা,হাতে ঠেলা হুইলচেয়ারে মহিলা,হুইলচেয়ার,ডান দিকে মুখ করে আছে	🧑‍🦽‍➡️	woman in manual wheelchair facing right
🏃	people	fast,hurry,marathon,move,person,quick,race,racing,run,rush,speed,person running,running,jog	গতি,ছুটছে,ছুটে চলা,দৌড়,দৌড়বিদ,দৌড়রত,দৌড়ে যাওয়া,পলায়ন,ম্যারাথন,রেস,দৌড়,দ্রুত		person running
🏃‍♂️	people	fast,hurry,man,marathon,move,quick,race,racing,run,rush,speed,man running,running	ছেলে,ছেলেদের দৌড়,দৌড়,পুরুষ,ম্যারাথন,রেসিং	🏃	man running
🏃‍♀️	people	fast,hurry,marathon,move,quick,race,racing,run,rush,speed,woman,woman running,running	দৌড়,দ্রুত,ব্যক্তি,মহিলা,মানুষ,মেয়ে,মেয়েদের দৌড়,ম্যারাথন,রেসিং,স্মাইলি	🏃	woman running
🏃‍➡️	people	facing,fast,hurry,marathon,move,person,quick,race,racing,right,run,rush,speed,person running,facing right,running	আছে,করে,গতি,ছুটছে,ছুটে চলা,ডান,দিকে,দৌড়,দৌড়বিদ,দৌড়রত,দৌড়ে যাওয়া,পলায়ন,মুখ,ম্যারাথন,রেস,ডান দিকে মুখ করে আছে		person running facing right
🏃‍♀️‍➡️	people	facing,fast,hurry,marathon,move,quick,race,racing,right,run,rush,speed,woman,woman running,facing right,running	আছে,করে,ডান,দিকে,দৌড়,দ্রুত,ব্যক্তি,মহিলা,মানুষ,মুখ,মেয়ে,মেয়েদের দৌড়,ম্যারাথন,রেসিং,স্মাইলি,ডান দিকে মুখ করে আছে	🏃‍➡️	woman running facing right
🏃‍♂️‍➡️	people	facing,fast,hurry,man,marathon,move,quick,race,racing,right,run,rush,speed,man running,facing right,running	আছে,করে,ছেলে,ছেলেদের দৌড়,ডান,দিকে,দৌড়,পুরুষ,মুখ,ম্যারাথন,রেসিং,ডান দিকে মুখ করে আছে	🏃‍➡️	man running facing right
🧑‍🩰	people	ballet,dancer,ballet dancer	ড্যান্সার,ব্যালে,ব্যালে ড্যান্সার		ballet dancer
💃	people	dance,dancer,dancing,elegant,festive,flair,flamenco,groove,let’s,salsa,tango,woman,woman dancing,dancing woman	ডানসার,নর্তকী,নাচ,নৃত্যরত মহিলা,ব্যক্তি,নৃত্য		woman dancing
🕺	people	dance,dancer,dancing,elegant,festive,flair,flamenco,groove,let’s,man,salsa,tango,man dancing,dancing man,disco	নাচ,নাচছে,নৃত্যরত পুরুষ,পুরুষ,নৃত্য		man dancing
🕴️	people	business,levitating,person,suit,person in suit levitating,in	পুরুষ,ব্যবসা,ব্যবসার জন্য স্যুট,ব্যবসার স্যুট পরিহিত ভাসমান মানুষ,স্যুট		person in suit levitating
👯	people	bestie,bff,bunny,counterpart,dancer,double,ear,identical,pair,party,partying,people,soulmate,twin,twinsies,people with bunny ears,with,ears	আত্মার বন্ধু,একইরকম,কান,খরগোশ,খরগোশের কান,জুড়ি,ঝোলা কানযুক্ত লোক,ডান্সার,নর্তকী,নৃত্য,নৃত্যশিল্পী,পার্টি,বেস্টী,মেয়ে,যমজ		people with bunny ears
👯‍♂️	people	bestie,bff,bunny,counterpart,dancer,double,ear,identical,men,pair,party,partying,people,soulmate,twin,twinsies,men with bunny ears,with,ears	ছেলে,ঝোলা কানযুক্ত পুরুষ,ডানসার,পার্টি,বানি ইয়ার,মানুষ,স্মাইলি	👯	men with bunny ears
👯‍♀️	people	bestie,bff,bunny,counterpart,dancer,double,ear,identical,pair,party,partying,people,soulmate,twin,twinsies,women,women with bunny ears,with,ears	ঝোলা কানযুক্ত নারি,ডানসার,পার্টি,বানি ইয়ার,মেয়ে	👯	women with bunny ears
🧖	people	day,luxurious,pamper,person,relax,room,sauna,spa,steam,steambath,unwind,person in steamy room,in,steamy	গোছল,বাষ্পস্নান,বাষ্পীয় রুম,বাষ্পীয় রুমে একজন,ব্যক্তি,মানুষ,সনা,স্নান,স্মাইলি		person in steamy room
🧖‍♂️	people	day,luxurious,man,pamper,relax,room,sauna,spa,steam,steambath,unwind,man in steamy room,in,steamy	বাষ্পীয় রুম,বাষ্পীয় রুমে পুরুষ,সনা	🧖	man in steamy room
🧖‍♀️	people	day,luxurious,pamper,relax,room,sauna,spa,steam,steambath,unwind,woman,woman in steamy room,in,steamy	বাষ্পীয় রুম,বাষ্পীয় রুমে মহিলা,সনা	🧖	woman in steamy room
🧗	people	climb,climber,climbing,mountain,person,rock,scale,up,person climbing,rock climbing,adventure	আরোহী,একজন উপরে উঠছে,পর্বতারোহণ,পর্বতারোহী,পাহাড়,মহিলা পর্বতারোহণ,মহিলা পর্বতারোহী,স্মাইলি,আরোহণ,পর্বত		person climbing
🧗‍♂️	people	climb,climber,climbing,man,mountain,rock,scale,up,man climbing	আরোহী,পুরুষ আরোহী	🧗	man climbing
🧗‍♀️	people	climb,climber,climbing,mountain,rock,scale,up,woman,woman climbing	আরোহী,মহিলা আরোহী	🧗	woman climbing
🤺	people	fencer,fencing,person,sword,person fencing	খেলা,তরওয়াল,তলোয়ার,তলোয়ার খেলোয়াড়,ব্যক্তি,লড়াইবাজ		person fencing
🏇	people	horse,jockey,racehorse,racing,riding,sport,horse racing	ঘোড়া,ঘোড়া দৌড়,জকি,রেসিং		horse racing
⛷️	people	ski,skier,snow	তুষারপাত,বরফ,স্কি,স্কিচালক,স্কেটিং		skier
🏂	people	ski,snow,snowboard,snowboarder,sport	তুষারপাত,বরফ,স্কি,স্নো বর্ডার,স্নোবোর্ড		snowboarder
🏌️	people	ball,birdie,caddy,driving,golf,golfing,green,person,pga,putt,range,tee,person golfing	ক্যাডি,গর্তে ফেলা,গলফ,গলফ খেলা,গল্ফ,গল্ফ খেলছে,গল্ফার,গল্ফার খেলোয়াড়,গল্ফের খেলোয়াড়,ড্রাইভিং পরিসীমা,বল		person golfing
🏌️‍♂️	people	ball,birdie,caddy,driving,golf,golfing,green,man,pga,putt,range,tee,man golfing	গল্ফ,ছেলে,ছেলেদের গল্ফ খেলা,পুরুষ	🏌️	man golfing
🏌️‍♀️	people	ball,birdie,caddy,driving,golf,golfing,green,pga,putt,range,tee,woman,woman golfing	খেলা,গল্ফ,মহিলা,মানুষ,মেয়ে,মেয়েদের গল্ফ খেলা	🏌️	woman golfing
🏄	people	beach,ocean,person,sport,surf,surfer,surfing,swell,waves,person surfing	ক্রীড়া,খেলাধুলা,বীচ,ব্যক্তির সার্ফিং,মহাসাগর,সমুদ্র সৈকত,সমুদ্রতীর,সার্ফ করা,সার্ফার,সার্ফিং,স্পোর্টস		person surfing
🏄‍♂️	people	beach,man,ocean,sport,surf,surfer,surfing,swell,waves,man surfing	ছেলে,ছেলেদের সার্ফিং,পুরুষ,সার্ফিং	🏄	man surfing
🏄‍♀️	people	beach,ocean,person,sport,surf,surfer,surfing,swell,waves,woman surfing,woman	খেলাধুলা,ব্যক্তি,মহিলা,মেয়েদের সার্ফিং,সমুদ্র,সাগর,সার্ফিং	🏄	woman surfing
🚣	people	boat,canoe,cruise,fishing,lake,oar,paddle,person,raft,river,row,rowboat,rowing,person rowing boat	গোল নৌকা,ডিঙি নৌকা,তরী,দাঁড় টানা,দাঁড় বাওয়া নৌকা,নৌকা,নৌকা বাইচ,বৈঠা বাওয়া,বোট,ব্যক্তি দাঁড় বাইছে,মাছ ধরা,যানবাহন,হ্রদ		person rowing boat
🚣‍♂️	people	boat,canoe,cruise,fishing,lake,man,oar,paddle,raft,river,row,rowboat,rowing,man rowing boat	ছেলে,নৌকা,পুরুষ,পুরুষদের নৌকা চালানো,বাইচের নৌকা	🚣	man rowing boat
🚣‍♀️	people	boat,canoe,cruise,fishing,lake,oar,paddle,raft,river,row,rowboat,rowing,woman,woman rowing boat	কার্যকলাপ,জেলে,নদী,নৌকা,নৌকাবাইচ,বাইচের নৌকা,বিল,মহিলা,মাছ ধরা,মেয়েদের নৌকা চালানো,লেক,স্ত্রি	🚣	woman rowing boat
🏊	people	freestyle,person,sport,swim,swimmer,swimming,triathlon,person swimming,pool	ক্রীড়া,খেলাধুলা,জলে সাঁতার কাটা,পানি,ফ্রিস্টাইল,ব্যক্তি সাঁতার কাটছেন,সাঁতার কাটা,সাঁতারু,স্পোর্টস,সাঁতার,খেলা		person swimming
🏊‍♂️	people	freestyle,man,sport,swim,swimmer,swimming,triathlon,man swimming	ছেলে,পুরুষ,পুরুষ সাঁতারু,সাঁতার	🏊	man swimming
🏊‍♀️	people	freestyle,man,sport,swim,swimmer,swimming,triathlon,woman swimming,woman	খেলাধুলা,মহিলা,মহিলা সাঁতারু,সাঁতার,স্ত্রি	🏊	woman swimming
⛹️	people	athletic,ball,basketball,bouncing,championship,dribble,net,person,player,throw,person bouncing ball	খেলাধুলা,চ্যাম্পিয়নশিপ,নিক্ষেপ করা,বল,বল নিয়ে ব্যক্তি,বল বাউন্সিং,বল লাফানো,বাস্কেটবল,বাস্কেটবল খেলোয়াড়		person bouncing ball
⛹️‍♂️	people	athletic,ball,basketball,bouncing,championship,dribble,man,net,player,throw,man bouncing ball	ছেলে,ছেলেদের বল খেলা,পরুষ,বল	⛹️	man bouncing ball
⛹️‍♀️	people	athletic,ball,basketball,bouncing,championship,dribble,net,player,throw,woman,woman bouncing ball	খেলাধুলা,বল,ব্যক্তি,মহিলা,মেয়েদের বল খেলা,স্ত্রি	⛹️	woman bouncing ball
🏋️	people	barbell,bodybuilder,deadlift,lifter,lifting,person,powerlifting,weight,weightlifter,weights,workout,person lifting weights,weight lifting,gym,strong	উত্তোলক ব্যক্তি,উত্তোলনকারী,ওজন,ওয়ার্কআউট,ডেডলিফট,পাওয়াররলিফটিং,বডিবিল্ডার,বারবেল,ব্যক্তি ওজন তুলছেন,ব্যায়াম,ভার,ভারোত্তোলক,ভারোত্তোলনকারী,ভারোত্তোলন,জিম,ব্যায়াম		person lifting weights
🏋️‍♂️	people	barbell,bodybuilder,deadlift,lifter,lifting,man,powerlifting,weight,weightlifter,weights,workout,man lifting weights	ওয়েটলিফ্টার,ছেলে,ছেলেদের ওয়েইটলিফটিং,পুরুষ	🏋️	man lifting weights
🏋️‍♀️	people	barbell,bodybuilder,deadlift,lifter,lifting,powerlifting,weight,weightlifter,weights,woman,workout,woman lifting weights	ওয়েটলিফ্টার,কার্যকলাপ,ব্যায়াম,ভার উত্তোলক,মহিলা,মেয়ে,মেয়েদের ওয়েইটলিফটিং,স্ত্রি,স্ত্রী	🏋️	woman lifting weights
🚴	people	bicycle,bicyclist,bike,biking,cycle,cyclist,person,riding,sport,person biking,cycling	ক্রীড়াবিদ,খেলাধুলা,বাইক,বাইসাইকেল,বাইসাইকেল আরোহী,সাইকেল,সাইকেল আরোহী,সাইকেল চালক,স্পোর্টস,খেলা		person biking
🚴‍♂️	people	bicycle,bicyclist,bike,biking,cycle,cyclist,man,riding,sport,man biking	ছেলে,ছেলেদের সাাইকেল চালানো,পুরুষ,বাইসাইকেল,সাইকেল	🚴	man biking
🚴‍♀️	people	bicycle,bicyclist,bike,biking,cycle,cyclist,riding,sport,woman,woman biking	কার্যকলাপ,খেলাধুলা,বাইক,বাইসাইকেল,মহিলা,মেয়েদের সাাইকেল চালানো,সাইকেল,স্ত্রি	🚴	woman biking
🚵	people	bicycle,bicyclist,bike,biking,cycle,cyclist,mountain,person,riding,sport,person mountain biking	খেলাধুলা,পর্বত,পর্বতে সাইকেল আরোহী,পাহাড়,বাইক,বাইসাইকেল,ব্যক্তি পর্বতে সাইকেল চালাচ্ছে,সাইকেল,সাইকেল আরোহী,সাইকেল চালক,সাইক্লিস্ট,স্পোর্টস		person mountain biking
🚵‍♂️	people	bicycle,bicyclist,bike,biking,cycle,cyclist,man,mountain,riding,sport,man mountain biking	ছেলেদের পাহাড়ে সাইকেল চালানো,পাহাড়,পুরুষ,বাইসাইকেেল,সাইকেল	🚵	man mountain biking
🚵‍♀️	people	bicycle,bicyclist,bike,biking,cycle,cyclist,mountain,riding,sport,woman,woman mountain biking	খেলাধুলা,পাহাড়,বাইসাইকেেল,মহিলা,মেয়েদের পাহাড়ে সাইকেল চালানো,সাইকেল	🚵	woman mountain biking
🤸	people	active,cartwheel,cartwheeling,excited,flip,gymnastics,happy,person,somersault,person cartwheeling,flexible	আনন্দিত,উদ্দীপ্ত,উল্টানো,কার্টহুইল,খেলা,জিমন্যাস্ট,ডিগবাজি,ব্যক্তি,শরীর চর্চা,জিমন্যাস্টিকস		person cartwheeling
🤸‍♂️	people	active,cartwheel,cartwheeling,excited,flip,gymnastics,happy,man,somersault,man cartwheeling	আনন্দিত,একজন ছেলে কার্টহুইল করছে,কার্টহুইল,খেলাধুলা,চটপটে,জিমন্যাস্টিক,ডিগবাজী,পুরুষ,ব্যক্তি,ব্যায়াম,শরীরচর্চা	🤸	man cartwheeling
🤸‍♀️	people	active,cartwheel,cartwheeling,excited,flip,gymnastics,happy,somersault,woman,woman cartwheeling	আনন্দিত,একজন মেয়ে কার্টহুইল করছে,কার্টহুইল,ক্ষিপ্র,খেলাধুলা,চটপটে,জিমন্যাস্টিক,ডিগবাজী,ব্যক্তি,ব্যায়াম,মহিলা,শরীরচর্চা	🤸	woman cartwheeling
🤼	people	combat,duel,grapple,people,ring,tournament,wrestle,wrestling,people wrestling	কুস্তি,কুস্তি টুর্নামেন্ট,কুস্তি প্রতিযোগিতা,কুস্তিগীর,খেলা,বিরোধ,ব্যক্তি,রেসলিং,স্পোর্টস		people wrestling
🤼‍♂️	people	combat,duel,grapple,men,ring,tournament,wrestle,wrestling,men wrestling	কুস্তি,কুস্তি প্রতিযোগিতা,খেলাধুলা,টুর্নামেন্ট,দ্বন্দ্ব,পুরুষ,পুরুষ কুস্তিগীর,প্রতিপক্ষ,ব্যক্তি,রেসলিং	🤼	men wrestling
🤼‍♀️	people	combat,duel,grapple,ring,tournament,women,wrestle,wrestling,women wrestling	কুস্তি,কুস্তি প্রতিযোগিতা,খেলাধুলা,নারী,প্রতিদ্বন্দ্বী,ব্যক্তি,মহিলা,মহিলা কুস্তিগীর,যুদ্ধ,রেসলিং,রেসলিং টুর্নামেন্ট,লড়াই	🤼	women wrestling
